Name,Year,Type,Genre,MovieScore,Metascore,Duration,MovieColor,MovieLanguage,MovieWorldwideGross,MovieURL,Total_Votes
The Lion King ,2019,Movie,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",7.1,55,118,Color,English,1564549294,https://www.imdb.com/title/tt6105098/,95301
Once Upon a Time... in Hollywood ,2019,Movie,"['Comedy', 'Drama']",8,83,161,Color,English,283722549,https://www.imdb.com/title/tt7131622/,164018
Joker ,2019,Movie,"['Crime', 'Drama', 'Thriller']",9.6,75,122,Color,English,0,https://www.imdb.com/title/tt7286456/,7756
Stranger Things,-,TV Series,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",8.8,0,51,Color,English,0,https://www.imdb.com/title/tt4574334/,654652
La Casa de Papel,-,TV Series,"['Action', 'Crime', 'Mystery', 'Thriller']",8.6,0,70,Color,Serbian,0,https://www.imdb.com/title/tt6468322/,158703
The Boys,-,TV Series,"['Action', 'Comedy', 'Crime', 'Sci-Fi']",8.9,0,60,Color,English,0,https://www.imdb.com/title/tt1190634/,74770
Veronica Mars,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.3,0,44,Color,English,0,https://www.imdb.com/title/tt0412253/,63900
Big Little Lies,-,TV Series,"['Crime', 'Drama', 'Mystery']",8.6,0,60,Color,English,0,https://www.imdb.com/title/tt3920596/,122463
Another Life,-,TV Series,"['Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",4.8,0,43,Color,English,0,https://www.imdb.com/title/tt8369840/,16601
Spider-Man: Far from Home ,2019,Movie,"['Action', 'Adventure', 'Sci-Fi']",7.9,69,129,Color,English,1122182596,https://www.imdb.com/title/tt6320628/,159116
Euphoria,-,TV Series,['Drama'],8.4,0,55,Color,English,0,https://www.imdb.com/title/tt8772296/,23439
Avengers: Endgame ,2019,Movie,"['Action', 'Adventure', 'Sci-Fi']",8.6,78,181,Color,English,2796255402,https://www.imdb.com/title/tt4154796/,544683
The Handmaid's Tale,-,TV Series,"['Drama', 'Sci-Fi', 'Thriller']",8.5,0,60,Color,English,0,https://www.imdb.com/title/tt5834204/,134473
Secret Obsession ,2019,Movie,"['Drama', 'Mystery', 'Thriller']",4.3,0,97,Color,English,0,https://www.imdb.com/title/tt9419834/,12691
The Lion King ,1994,Movie,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",8.5,88,88,Color,English,968511805,https://www.imdb.com/title/tt0110357/,858561
Midsommar ,2019,Movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",7.6,72,147,Color,English,35499085,https://www.imdb.com/title/tt8772262/,34919
Game of Thrones,-,TV Series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",9.4,0,57,Color,English,0,https://www.imdb.com/title/tt0944947/,1583280
Alita: Battle Angel ,2019,Movie,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",7.4,53,122,Color,English,404852543,https://www.imdb.com/title/tt0437086/,153580
